"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","309","Get Product Instance","Assurdly | Receiver API","Wed Jun 11 18:47:47 GMT 2025","failed","Wed Jun 11 18:47:48 GMT 2025","","Product Instances","",""
"","563","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed Jun 11 18:47:48 GMT 2025","failed","Wed Jun 11 18:47:49 GMT 2025","","Product Instances","",""
"","279","get config types","Assurdly | Receiver API","Wed Jun 11 18:47:53 GMT 2025","passed","Wed Jun 11 18:47:53 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","394","Get tooltip - No auth","Assurdly | Receiver API","Wed Jun 11 18:47:52 GMT 2025","passed","Wed Jun 11 18:47:53 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","283","Get activity numbers","Assurdly | Receiver API","Wed Jun 11 18:47:57 GMT 2025","passed","Wed Jun 11 18:47:57 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","397","Get trading partner -No auth","Assurdly | Receiver API","Wed Jun 11 18:47:52 GMT 2025","passed","Wed Jun 11 18:47:52 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","576","Dashboard Filter","Assurdly | Receiver API","Wed Jun 11 18:47:44 GMT 2025","passed","Wed Jun 11 18:47:45 GMT 2025","Stats","Dashboard","",""
"","276","Set uom Preference - Empty Value","Assurdly | Receiver API","Wed Jun 11 18:47:44 GMT 2025","failed","Wed Jun 11 18:47:44 GMT 2025","Preference","Home","",""
"","157","Read Notification","Assurdly | Receiver API","Wed Jun 11 18:47:43 GMT 2025","passed","Wed Jun 11 18:47:43 GMT 2025","Notification","Home","",""
"","286","Participant Detail","Assurdly | Receiver API","Wed Jun 11 18:47:43 GMT 2025","passed","Wed Jun 11 18:47:44 GMT 2025","participant","Home","",""
"","281","Get producer record receiving","Assurdly | Receiver API","Wed Jun 11 18:47:56 GMT 2025","passed","Wed Jun 11 18:47:56 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","403","Get activity numbers - No auth","Assurdly | Receiver API","Wed Jun 11 18:47:56 GMT 2025","passed","Wed Jun 11 18:47:57 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","348","Single event","Assurdly | Receiver API","Wed Jun 11 18:47:57 GMT 2025","passed","Wed Jun 11 18:47:57 GMT 2025","Single Event","Receiving Event","",""
"","280","Total Events Count","Assurdly | Receiver API","Wed Jun 11 18:47:47 GMT 2025","passed","Wed Jun 11 18:47:47 GMT 2025","","Events Records","",""
